Atualizado em: 2025-08-28
"Empresa_Aerea";"N_Voo";"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"AAL - AMERICAN AIRLINES, INC.";"0963";"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"0";"0"
"AAL - AMERICAN AIRLINES, INC.";"0951";"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"0";"0"
"AAL - AMERICAN AIRLINES, INC.";"7845";"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"12,9";"6,45"
"AAL - AMERICAN AIRLINES, INC.";"7847";"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"9";"0";"33,33";"0"
"AAL - AMERICAN AIRLINES, INC.";"0905";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"0";"0"
"AAL - AMERICAN AIRLINES, INC.";"0929";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"0";"0"
"AAL - AMERICAN AIRLINES, INC.";"0995";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"0";"0"
"AAL - AMERICAN AIRLINES, INC.";"7843";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"9";"0";"22,22";"22,22"
"AAL - AMERICAN AIRLINES, INC.";"7849";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"30";"0";"6,67";"3,33"
"AAL - AMERICAN AIRLINES, INC.";"7853";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"12,9";"3,23"
"AAL - AMERICAN AIRLINES, INC.";"7842";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"10";"0";"20";"20"
"AAL - AMERICAN AIRLINES, INC.";"0904";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"31";"3,23";"0";"0"
"AAL - AMERICAN AIRLINES, INC.";"0906";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"31";"3,23";"0";"0"
