Atualizado em: 2025-08-28
"Empresa_Aerea";"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"AAL - AMERICAN AIRLINES, INC.";"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÃ‰ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"46,67";"36,67"
"AAL - AMERICAN AIRLINES, INC.";"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÃ‰ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"40";"30"
"AAL - AMERICAN AIRLINES, INC.";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃƒO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"29,03";"12,9"
"AAL - AMERICAN AIRLINES, INC.";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÃ‰ FRANCO MONTORO(SP, BRASIL)";"62";"0";"32,26";"14,52"
"AAL - AMERICAN AIRLINES, INC.";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃƒO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"31";"3,23";"6,67";"6,67"
"AAL - AMERICAN AIRLINES, INC.";"SBGR";"GUARULHOS - GOVERNADOR ANDRÃ‰ FRANCO MONTORO(SP, BRASIL)";"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"31";"0";"16,13";"16,13"
"AAL - AMERICAN AIRLINES, INC.";"SBGR";"GUARULHOS - GOVERNADOR ANDRÃ‰ FRANCO MONTORO(SP, BRASIL)";"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"28";"3,57";"18,52";"14,81"
"AAL - AMERICAN AIRLINES, INC.";"SBGR";"GUARULHOS - GOVERNADOR ANDRÃ‰ FRANCO MONTORO(SP, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÃ‰RICA)";"62";"1,61";"13,11";"9,84"
"ABJ - ATA - AEROTÃXI ABAETÃ‰ LTDA.";"SBSV";"DEPUTADO LUÃS EDUARDO MAGALHÃƒES(BA, BRASIL)";"SDLO";"FAZENDA PONTAL(BA, BRASIL)";"5";"20";"0";"0"
"ABJ - ATA - AEROTÃXI ABAETÃ‰ LTDA.";"SBSV";"DEPUTADO LUÃS EDUARDO MAGALHÃƒES(BA, BRASIL)";"SNCL";"LORENZO(BA, BRASIL)";"49";"26,53";"0";"0"
"ABJ - ATA - AEROTÃXI ABAETÃ‰ LTDA.";"SDLO";"FAZENDA PONTAL(BA, BRASIL)";"SBSV";"DEPUTADO LUÃS EDUARDO MAGALHÃƒES(BA, BRASIL)";"4";"0";"0";"0"
"ABJ - ATA - AEROTÃXI ABAETÃ‰ LTDA.";"SDLO";"FAZENDA PONTAL(BA, BRASIL)";"SNCL";"LORENZO(BA, BRASIL)";"5";"20";"0";"0"
