Atualizado em: 2025-08-28
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"CYUL";"MONTRÉAL-PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT(CANADÁ)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"18";"0";"5,56";"0"
"CYYZ";"TORONTO PEARSON INTERNATIONAL AIRPORT(CANADÁ)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"32,26";"9,68"
"DNMM";"MURTALA MOHAMMED INTERNATIONAL AIRPORT(NIGÉRIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"3";"0";"33,33";"33,33"
"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"13";"0";"15,38";"0"
"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"62";"0";"9,68";"6,45"
"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"3,23";"3,23"
"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"62";"0";"8,06";"3,23"
"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"3,23";"13,33";"3,33"
"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"3,23";"10";"6,67"
"FACT";"CAPE TOWN INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"9";"0";"22,22";"11,11"
"FAOR";"OR TAMBO INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"27";"3,7";"15,38";"7,69"
"FNLU";"QUATRO DE FEVEREIRO AIRPORT(ANGOLA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"17";"0";"35,29";"17,65"
"HAAB";"BOLE INTERNATIONAL AIRPORT(ETIÓPIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"31";"0";"9,68";"3,23"
"KATL";"HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"18";"0";"33,33";"11,11"
